id,timestamp,open_rank_domain,page_rank_integer,page_rank_decimal,website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
036adaf7-18fc-438f-8d1c-acb770ffa39b,2024-11-19T08:14:26.443540,kakocoinlogin.gitbook.io,3,2.5,https://kakocoinlogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
f7fdca38-3642-4ff2-9005-f23cdfacdebe,2024-11-19T08:14:39.132258,kakrakencooamelogin.gitbook.io,0,0,https://kakrakencooamelogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
2bb7a4ed-85b2-46f3-88db-c118f7f5df4e,2024-11-19T08:14:52.729477,kcoinbaseorologin.gitbook.io,0,0,https://kcoinbaseorologin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
2de70823-8488-4118-9674-4751da41c16d,2024-11-19T08:15:03.436829,kcraikkenlogem.gitbook.io,3,2.73,https://kcraikkenlogem.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
3be8fa40-6f8b-4d7f-804d-0fe2225abd93,2024-11-19T08:15:15.088976,kcucoin-login-1.gitbook.io,0,0,https://kcucoin-login-1.gitbook.io/us,1,1,1,1,1,-1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
e6d8a8c3-81fc-442c-a078-9325ff52538e,2024-11-19T08:15:27.510227,kecoiinlogzeu.gitbook.io,0,0,https://kecoiinlogzeu.gitbook.io/en,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
cc397543-d9d5-4d0b-b0b5-8aa074e18e31,2024-11-19T08:15:38.488324,kenlogiusq.gitbook.io,2,1.83,https://kenlogiusq.gitbook.io/usa,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
b4143522-016d-4859-b531-bc3c79e8066d,2024-11-19T08:15:51.037006,kenusloginz.gitbook.io,0,0,https://kenusloginz.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
d72496f5-3f2b-441f-866e-bfa3be4c45dd,2024-11-19T08:16:03.631368,keucoienlougin.gitbook.io,2,1.84,https://keucoienlougin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
4fe5dda8-15d8-4a3c-9981-8645dded9e83,2024-11-19T08:16:16.724444,kicuinlugn.gitbook.io,2,1.62,https://kicuinlugn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
6135936e-76b6-4f8e-9838-63ab2edf0784,2024-11-19T08:16:28.447273,kkqucoinlogin.gitbook.io,3,2.73,https://kkqucoinlogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
