page_rank_decimal,shortining_service,favicon,request_url,url_of_anchor,links_in_tags,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,sim_lev,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
3.25,1,1,0,1,0,1,0,1,-1,1,0.6,38,0,1,0,1
2.76,1,1,1,1,1,1,0,1,1,1,0.5,50,0,1,0,1
0.0,1,-1,0,0,0,1,-1,-1,-1,0,0.25,47,1,0,14,-1
2.5,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,15,-1
4.65,1,1,0,1,0,-1,0,1,1,1,0.5,43,0,1,0,1
2.77,1,1,1,1,1,1,0,1,-1,-1,0.6666666666666666,44,1,1,7,1
0.0,1,1,-1,-1,-1,1,-1,-1,-1,0,0.6153846153846154,53,0,1,0,-1
6.77,1,1,1,1,1,1,1,1,-1,-1,0.5,55,0,1,0,-1
0.0,1,1,0,-1,0,1,-1,-1,-1,1,0.4,29,1,1,4,-1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.4,53,1,0,14,-1
2.96,1,1,0,1,0,-1,0,1,1,0,0.2,41,0,1,0,1
4.14,1,1,1,1,1,1,0,1,1,1,0.5,38,1,1,3,1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,0,13,-1
0.0,1,1,1,1,0,1,-1,-1,-1,-1,0.5,40,0,1,0,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
5.56,1,1,0,0,0,-1,1,1,-1,1,0.7142857142857143,36,0,1,0,-1
2.51,1,1,-1,1,0,1,0,1,1,1,0.6,47,1,1,2,1
0.0,1,-1,0,1,1,1,-1,-1,1,-1,0.7142857142857143,46,1,1,6,-1
3.16,1,1,1,1,1,1,0,1,1,1,0.5714285714285714,39,1,1,3,1
6.77,1,1,1,1,1,1,1,1,-1,-1,0.5,55,0,1,0,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
2.18,1,1,0,1,0,-1,0,1,1,1,0.3333333333333333,62,0,1,0,1
4.92,1,1,1,1,0,-1,0,1,1,1,0.6666666666666666,40,0,1,0,1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.5,36,1,-1,36,-1
3.16,1,1,1,1,1,-1,0,1,1,0,0.38461538461538464,69,1,1,3,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,-1,20,-1
0.81,1,1,0,1,0,-1,0,1,1,1,0.7142857142857143,47,0,1,0,1
4.81,1,1,-1,1,0,-1,0,1,1,1,0.7142857142857143,40,0,1,0,1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,-1,17,-1
0.0,1,1,0,0,0,-1,0,-1,-1,1,0.42857142857142855,53,2,0,11,1
0.0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.42857142857142855,50,2,-1,64,-1
1.57,1,1,0,1,1,1,0,1,1,1,0.75,43,0,1,0,1
0.0,1,1,1,1,1,1,-1,-1,1,-1,0.5,47,0,1,0,-1
3.51,1,1,1,1,1,-1,0,1,1,1,0.6,30,1,1,3,1
2.53,1,1,1,0,1,-1,0,1,1,1,0.5,40,0,1,0,1
3.06,1,1,1,1,1,1,0,1,-1,1,0.6923076923076923,50,0,1,0,1
0.0,1,1,1,1,0,1,-1,-1,-1,-1,0.6,45,1,-1,18,-1
4.27,1,1,1,1,1,1,0,1,-1,1,0.4444444444444444,63,2,0,13,1
2.32,1,-1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,25,-1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,-1,16,-1
0.0,1,1,0,1,0,-1,0,-1,-1,-1,0.8,20,1,1,3,1
2.96,1,1,1,1,1,1,0,1,-1,1,0.5,50,1,1,3,1
0.0,1,1,1,1,0,1,-1,-1,-1,-1,0.75,36,1,1,2,-1
3.4,1,1,1,1,1,-1,0,1,1,1,0.5714285714285714,38,0,1,0,1
3.75,1,1,0,1,0,-1,0,1,-1,1,0.6666666666666666,33,0,1,0,1
0.0,1,-1,-1,1,0,1,-1,-1,-1,-1,0.6666666666666666,46,1,0,8,-1
3.6,1,-1,0,1,0,1,0,1,-1,1,0.6,40,1,0,8,1
2.99,1,1,0,0,0,-1,0,1,1,1,0.5714285714285714,32,1,1,3,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,-1,18,-1
3.4,1,-1,-1,1,0,-1,0,1,-1,1,0.625,38,0,1,0,1
0.0,1,-1,0,1,-1,1,-1,-1,-1,0,0.4,40,1,0,11,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
0.0,1,1,1,1,0,1,-1,-1,-1,-1,0.4,47,2,-1,46,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
0.0,1,1,1,1,1,1,0,-1,-1,-1,0.5,40,0,1,0,-1
0.0,1,1,0,1,0,-1,0,-1,-1,1,0.7142857142857143,44,1,1,3,1
0.0,1,1,-1,1,0,1,-1,-1,-1,-1,0.5,47,1,0,11,-1
3.17,1,1,0,1,0,-1,0,1,1,1,0.4,40,0,1,0,1
2.1,1,-1,-1,1,-1,1,0,1,1,1,0.6,37,1,1,3,1
5.08,1,1,1,1,1,1,1,1,1,-1,0.5714285714285714,53,1,0,8,1
4.96,1,-1,-1,0,-1,-1,0,1,1,1,0.6666666666666666,43,0,1,0,1
0.0,1,1,0,-1,0,1,-1,-1,-1,0,0.5,46,1,0,14,-1
